OTU,Size,Taxonomy
Otu0043,4268,k__Fungi(100);p__Basidiomycota(95);c__Agaricomycetes(93);c__Agaricomycetes_unclassified(93);c__Agaricomycetes_unclassified(93);c__Agaricomycetes_unclassified(93);c__Agaricomycetes_unclassified(93);
Otu0044,4249,k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Hypocreales(100);f__Hypocreaceae(100);f__Hypocreaceae_unclassified(96);f__Hypocreaceae_unclassified(96);
Otu0045,4028,k__Fungi(100);k__Fungi_unclassified(89);k__Fungi_unclassified(89);k__Fungi_unclassified(89);k__Fungi_unclassified(89);k__Fungi_unclassified(89);k__Fungi_unclassified(89);
Otu0046,3678,k__Fungi(100);p__Ascomycota(97);p__Ascomycota_unclassified(97);p__Ascomycota_unclassified(97);p__Ascomycota_unclassified(97);p__Ascomycota_unclassified(97);p__Ascomycota_unclassified(97);
Otu0047,3487,k__Fungi(100);p__Zygomycota(100);c__Zygomycota_class_Incertae_sedis(100);o__Mortierellales(100);f__Mortierellaceae(100);g__Mortierella(100);s__Mortierella_biramosa(100);
Otu0048,3455,k__Fungi(100);p__Basidiomycota(100);c__Agaricomycetes(100);o__Russulales(100);f__Albatrellaceae(100);g__Leucogaster(100);s__Leucogaster_citrinus(100);
Otu0049,3402,k__Fungi(100);p__Zygomycota(100);c__Zygomycota_class_Incertae_sedis(100);o__Mortierellales(100);f__Mortierellaceae(100);g__Mortierella(100);s__Mortierella_biramosa(100);
Otu0050,3150,k__Fungi(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);
Otu0051,3101,k__Fungi(100);p__Zygomycota(100);c__Zygomycota_class_Incertae_sedis(100);o__Mortierellales(100);f__Mortierellaceae(100);g__Mortierella(100);g__Mortierella_unclassified(100);
Otu0052,3078,k__Fungi(100);p__Ascomycota(100);p__Ascomycota_unclassified(92);p__Ascomycota_unclassified(92);p__Ascomycota_unclassified(92);p__Ascomycota_unclassified(92);p__Ascomycota_unclassified(92);
Otu0053,2678,k__Fungi(100);p__Zygomycota(100);c__Zygomycota_class_Incertae_sedis(100);o__Basidiobolales(100);f__Basidiobolaceae(100);g__Basidiobolus(100);s__Basidiobolus_sp(59);
Otu0054,2655,k__Fungi(100);p__Basidiomycota(100);c__Agaricomycetes(100);o__Thelephorales(100);f__Thelephoraceae(100);g__unclassified_Thelephoraceae(90);s__Thelephoraceae_sp(90);
Otu0055,2392,k__Fungi(100);p__Zygomycota(100);c__Zygomycota_class_Incertae_sedis(100);o__Basidiobolales(100);f__Basidiobolaceae(100);g__Basidiobolus(100);s__Basidiobolus_heterosporus(66);
Otu0056,2348,k__Fungi(100);p__Ascomycota(73);p__Ascomycota_unclassified(73);p__Ascomycota_unclassified(73);p__Ascomycota_unclassified(73);p__Ascomycota_unclassified(73);p__Ascomycota_unclassified(73);
Otu0057,2323,k__Fungi(100);p__Zygomycota(100);c__Zygomycota_class_Incertae_sedis(100);o__Basidiobolales(100);f__Basidiobolaceae(100);g__Basidiobolus(100);s__Basidiobolus_sp(84);
Otu0058,2292,k__Fungi(100);p__Basidiomycota(100);c__Agaricomycetes(100);o__Russulales(100);f__Russulaceae(100);f__Russulaceae_unclassified(51);f__Russulaceae_unclassified(51);
Otu0059,2280,k__Fungi(100);p__Basidiomycota(100);c__Agaricomycetes(100);o__Agaricales(100);f__Cortinariaceae(100);g__Cortinarius(100);g__Cortinarius_unclassified(100);
Otu0060,2216,k__Fungi(100);p__Ascomycota(100);c__Leotiomycetes(100);o__Helotiales(100);f__Helotiales_family_Incertae_sedis(100);g__Scytalidium(100);s__Scytalidium_lignicola(100);
Otu0061,2087,k__Fungi(100);p__Zygomycota(100);c__Zygomycota_class_Incertae_sedis(100);o__Basidiobolales(100);f__Basidiobolaceae(100);g__Basidiobolus(100);s__Basidiobolus_sp(80);
Otu0062,1992,k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Trichosphaeriales(100);f__Trichosphaeriales_family_Incertae_sedis(100);f__Trichosphaeriales_family_Incertae_sedis_unclassified(99);f__Trichosphaeriales_family_Incertae_sedis_unclassified(99);
Otu0063,1910,k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Capnodiales(99);o__Capnodiales_unclassified(99);o__Capnodiales_unclassified(99);o__Capnodiales_unclassified(99);
Otu0064,1806,k__Fungi(100);p__Basidiomycota(100);c__Agaricomycetes(100);o__Polyporales(100);f__Meripilaceae(100);g__Rigidoporus(100);s__Rigidoporus_sp_JV0511_23(100);
Otu0065,1796,k__Fungi(100);p__Basidiomycota(100);c__Agaricomycetes(100);o__Trechisporales(100);f__Hydnodontaceae(100);g__Trechispora(100);s__Trechispora_sp(100);
Otu0066,1789,k__Fungi(100);p__Zygomycota(100);c__Zygomycota_class_Incertae_sedis(100);o__Mortierellales(100);f__Mortierellaceae(100);g__Mortierella(100);s__Mortierella_parvispora(91);
