,Kingdom,Phylum,Class,Order,Family,Genus
ASV_4912,k__Fungi,p__Unclassified_Fungi,NA,NA,NA,NA
ASV_4913,k__Fungi,p__Unclassified_Fungi,NA,NA,NA,NA
ASV_4914,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Lophiostomataceae,NA
ASV_4915,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Xylariales,f__Xylariaceae,g__Nemania
ASV_4916,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Thelephorales,f__Thelephoraceae,g__Tomentella
ASV_4917,k__Fungi,p__Unclassified_Fungi,NA,NA,NA,NA
ASV_4918,k__Fungi,p__Unclassified_Fungi,NA,NA,NA,NA
ASV_4919,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Cortinariaceae,g__Cortinarius
ASV_4920,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,NA,NA
ASV_4921,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Cladosporiaceae,g__Cladosporium
ASV_4922,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Hypocreales_fam_Incertae_sedis,g__Acremonium
ASV_4923,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,NA,NA
ASV_4924,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Clavicipitaceae,NA
ASV_4925,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Polyporales,f__Meripilaceae,g__Rigidoporus
ASV_4926,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Teratosphaeriaceae,NA
ASV_4927,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Melanommataceae,NA
ASV_4928,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Hypocreaceae,g__Sepedonium
ASV_4929,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Teratosphaeriaceae,NA
ASV_4930,k__Fungi,p__Unclassified_Fungi,NA,NA,NA,NA
ASV_4931,k__Fungi,p__Basidiomycota,NA,NA,NA,NA
ASV_4932,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,NA,NA
ASV_4933,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Teratosphaeriaceae,NA
ASV_4934,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Mycosphaerellaceae,NA
ASV_4935,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Stachybotryaceae,g__Paramyrothecium
ASV_4936,k__Fungi,p__Basidiomycota,c__Exobasidiomycetes,o__Exobasidiales,f__Exobasidiaceae,g__Exobasidium
ASV_4937,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Hypocreales_fam_Incertae_sedis,g__Acremonium
ASV_4938,k__Fungi,p__Basidiomycota,NA,NA,NA,NA
ASV_4939,k__Fungi,p__Unclassified_Fungi,NA,NA,NA,NA
ASV_4940,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Glomerellales,f__Glomerellaceae,g__Colletotrichum
ASV_4941,k__Fungi,p__Unclassified_Fungi,NA,NA,NA,NA
ASV_4942,k__Fungi,p__Unclassified_Fungi,NA,NA,NA,NA
ASV_4943,k__Fungi,p__Basidiomycota,NA,NA,NA,NA
ASV_4944,k__Fungi,p__Basidiomycota,c__Exobasidiomycetes,o__Exobasidiales,f__Brachybasidiaceae,g__Meira
ASV_4945,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Russulales,f__Peniophoraceae,g__Peniophora
ASV_4946,k__Fungi,p__Basidiomycota,c__Agaricostilbomycetes,o__Agaricostilbales,f__Chionosphaeraceae,g__Kurtzmanomyces
ASV_4947,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Aspergillus
ASV_4948,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Venturiales,f__Venturiaceae,g__Venturia
ASV_4949,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Aspergillus
ASV_4950,k__Fungi,p__Unclassified_Fungi,NA,NA,NA,NA
ASV_4952,k__Fungi,p__Unclassified_Fungi,NA,NA,NA,NA
ASV_4953,k__Fungi,p__Basidiomycota,NA,NA,NA,NA
ASV_4954,k__Fungi,p__Ascomycota,c__Sordariomycetes,NA,NA,NA
ASV_4955,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Polyporales,f__Meripilaceae,g__Physisporinus
