,STP101B,STP117B,STP118B,STP119B,STP120B,STP125B,STP127B,STP128B,STP129B,STP130B,STP133B,STP136B,STP142B,STP144B,STP145B,STP149B,STP150B,STP151B,STP153B,STP154B,STP156B,STP161B,STP165B,STP166B,STP172B,STP173B,STP185B,STP193B,STP197B,STP201B,STP202B,STP204B,STP205B,STP206B,STP209B,STP20B,STP217B,STP218B,STP221B,STP224B,STP225B,STP24,STP245,STP247,STP248,STP249,STP25,STP250,STP26,STP27,STP29,STP292,STP293,STP294,STP30,STP40B,STP41B,STP42B,STP46B,STP47B,STP48B,STP503,STP505,STP509,STP50B,STP510,STP511,STP512,STP513,STP516,STP51B,STP552,STP557,STP558,STP559,STP560,STP561,STP563,STP564,STP565,STP567,STP570,STP571,STP572,STP578,STP579,STP588,STP592,STP595,STP596,STP601,STP602,STP603,STP604,STP606,STP607,STP608,STP609,STP610,STP612,STP666,STP667,STP669,STP672,STP673,STP674,STP676,STP67B,STP686,STP699,STP700,STP701,STP707,STP70B,STP713,STP719,STP71B,STP73B,STP746,STP748,STP74B,STP753,STP754,STP755,STP76B,STP79B,STP80B,STP84B,STP87B,STP89B,STP94B,STP97B,STP98B
ASV_26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,5,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2,9,0,0,0,0,1,0,2,10,0,0,0,0,0,86810,0,0,0,2,0,3,6,10,0,151,0,94,13782,0,0,0,1461,1542,0,0,4592,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_27,1197,1356,547,0,1000,2675,5176,591,2355,1062,2259,1380,1298,1142,2345,1439,1227,5878,2936,1538,1652,81,2256,473,28,1156,11,754,0,28,98,0,69,12,9,141,12238,4110,3525,4204,2726,95,0,0,0,0,107,0,179,431,0,0,0,0,270,572,2542,3017,1656,1368,813,0,0,77,9582,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,641,0,0,0,0,0,0,0,0,0,0,0,0,177,1487,0,412,837,0,147,0,0,0,0,0,0,0,285,0,0,0,0,0,638,0,0,1642,437,0,0,361,0,100,7,116,592,1568,1768,245,718,1248,910,452
ASV_29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,58,161,24,0,0,0,434,0,0,0,0,0,0,0,11,3501,330,31234,1611,9,1041,0,0,0,78,271,383,0,0,0,0,0,0,104,193,8670,0,0,0,0,0,0,0,0,0,2,10,28470,2,947,0,5290,211,20,8,0,0,11796,2,0,0,0,16,0,0,0,0,55,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,0,0,0,0,0,0,0,0,0,0
ASV_30,0,5,0,0,0,0,0,90,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,473,0,0,0,0,0,0,0,36,0,11751,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,1,0,0,0,11,0,0,12,0,0,115,0,0,4,2,0,0,29,0,0,3,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,8,2946,4214,7875,903,8616,2090,11355,39028,133,2513,4,0,0,0,13,0,1,0,6,0,0,0,8,0,1,0,11,87,3,255,6,46,11,0,5,1327,2,38,32,239,0,0,0
ASV_31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,2,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,2,0,1,6,0,3,0,2,0,0,0,4,4,2,1,0,0,7,0,3104,3393,19064,707,8403,5222,30738,14507,261,4374,6,2,0,0,0,3,0,0,5,1,0,0,3,0,2,0,0,0,0,1631,0,0,0,0,0,0,0,0,0,0,0,0,3
ASV_32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,0,0,15289,0,0,5,8,0,0,0,0,0,297,16726,1224,0,0,0,25337,15112,9166,0,0,1412,0,0,0,0,0,0,0,0,0,968,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,31,0,0,0,217,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,78927,0,2,0,1,0,2646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,3,0,0,2,0,0,0,0,6,0,0,0,0,0,2,58,56,1,0,0,0,0,0,0,0,280,5327,187,6725,10457,0,9998,5076,39193,0,0,1790,0,0,2,1,0,1,0,0,0,1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,227,57,0,0,21,0,154,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,6998,481,2749,0,6,0,0,0,0,0,0,0,0,3434,0,0,0,4257,185,0,1,56120,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_37,0,15,780,85,765,69,28,5,1,0,2,0,0,0,0,0,0,0,0,0,0,0,27,341,35,0,0,1872,0,140,4240,2,3,2,0,4,0,0,0,0,0,3,1957,68,2333,2641,0,1233,12099,2,21,33,4,688,0,6,1,2,242,764,2555,0,0,0,365,0,0,0,2,1,27,1,0,0,0,0,2,4,0,0,0,0,1,0,0,4,0,2,0,278,10,10696,2,1,5385,0,126,0,22,0,1,0,0,3,7,3,0,610,0,0,0,0,1,17,0,0,38,0,0,8955,64,7538,2445,0,0,0,2,998,621,26,0,0,19
