sample ID,host_animal,host_genus,host_species,site,state,lat,lon,year,month ,day
STP165B,salamander,Plethodon,glutinosus_CladeC,"Pigeon Mountain, GA",GA,34.70266,-85.33889,,,
STP166B,salamander,Plethodon,glutinosus_CladeC,"Pigeon Mountain, GA",GA,34.70266,-85.33889,,,
STP172B,salamander,Plethodon,glutinosus_CladeC,"Pigeon Mountain, GA",GA,34.70266,-85.33889,,,
STP173B,salamander,Plethodon,glutinosus_CladeC,"Pigeon Mountain, GA",GA,34.70266,-85.33889,,,
STP185B,salamander,Plethodon,glutinosus_CladeB,"Talladega NF, Payne Lake, AL",AL,32.88997,-87.44212,,,
STP193B,salamander,Plethodon,glutinosus_CladeB,"Talladega NF, Payne Lake, AL",AL,32.88997,-87.44212,,,
STP197B,salamander,Plethodon,glutinosus_CladeB,"Talladega NF, Payne Lake, AL",AL,32.88997,-87.44212,,,
STP200B,salamander,Plethodon,glutinosus_CladeA,"Tuskegee NF, AL",AL,32.48092,-85.61804,,,
STP201B,salamander,Plethodon,glutinosus_CladeA,"Tuskegee NF, AL",AL,32.48092,-85.61804,,,
STP202B,salamander,Plethodon,glutinosus_CladeA,"Tuskegee NF, AL",AL,32.48092,-85.61804,,,
STP204B,salamander,Plethodon,glutinosus_CladeA,"Tuskegee NF, AL",AL,32.48092,-85.61804,,,
STP209B,salamander,Plethodon,glutinosus_CladeA,"Tuskegee NF, AL",AL,32.48092,-85.61804,,,
STP217B,salamander,Plethodon,glutinosus_CladeH,"site 25 - Weisrock and Larson 2006, NC",NC,35.69996,-82.3988,,,
STP218B,salamander,Plethodon,glutinosus_CladeH,"site 25 - Weisrock and Larson 2006, NC",NC,35.69996,-82.3988,,,
STP221B,salamander,Plethodon,glutinosus_CladeH,"site 25 - Weisrock and Larson 2006, NC",NC,35.69996,-82.3988,,,
STP224B,salamander,Plethodon,glutinosus_CladeH,"site 25 - Weisrock and Larson 2006, NC",NC,35.69996,-82.3988,,,
STP225B,salamander,Plethodon,glutinosus_CladeH,"site 25 - Weisrock and Larson 2006, NC",NC,35.69996,-82.3988,,,
STP39B,salamander,Plethodon,glutinosus_CladeG,"Brasstown Bald, GA",GA,34.86977,-83.81081,,,
STP41B,salamander,Plethodon,glutinosus_CladeG,"Brasstown Bald, GA",GA,34.86977,-83.81081,,,
STP42B,salamander,Plethodon,glutinosus_CladeG,"Brasstown Bald, GA",GA,34.86977,-83.81081,,,
STP46B,salamander,Plethodon,glutinosus_CladeI,"Yonah Mountain, GA",GA,34.63458,-83.72488,,,
STP47B,salamander,Plethodon,glutinosus_CladeI,"Yonah Mountain, GA",GA,34.63458,-83.72488,,,
STP48B,salamander,Plethodon,glutinosus_CladeI,"Yonah Mountain, GA",GA,34.63458,-83.72488,,,
STP50B,salamander,Plethodon,glutinosus_CladeI,"Yonah Mountain, GA",GA,34.63458,-83.72488,,,
STP51B,salamander,Plethodon,glutinosus_CladeI,"Yonah Mountain, GA",GA,34.63458,-83.72488,,,
STP67B,salamander,Plethodon,glutinosus_CladeG,"roadside stop, hybrid zone, GA",GA,34.66327,-83.88833,,,
STP70B,salamander,Plethodon,glutinosus_CladeF,"Tate City, GA",GA,35.00486,-83.55448,,,
STP71B,salamander,Plethodon,glutinosus_CladeF,"Tate City, GA",GA,35.00486,-83.55448,,,
STP73B,salamander,Plethodon,glutinosus_CladeF,"Tate City, GA",GA,35.00486,-83.55448,,,
STP74B,salamander,Plethodon,glutinosus_CladeF,"Tate City, GA",GA,35.00486,-83.55448,,,
STP76B,salamander,Plethodon,glutinosus_CladeF,"Tate City, GA",GA,35.00486,-83.55448,,,
STP79B,salamander,Plethodon,glutinosus_CladeE,"Rabun Bald, GA",GA,34.97921,-83.30302,,,
STP80B,salamander,Plethodon,glutinosus_CladeE,"Rabun Bald, GA",GA,34.97921,-83.30302,,,
STP84B,salamander,Plethodon,glutinosus_CladeE,"Rabun Bald, GA",GA,34.97921,-83.30302,,,
STP87B,salamander,Plethodon,glutinosus_CladeE,"Rabun Bald, GA",GA,34.97921,-83.30302,,,
STP89B,salamander,Plethodon,glutinosus_CladeE,"Rabun Bald, GA",GA,34.97921,-83.30302,,,
STP94B,salamander,Plethodon,glutinosus_CladeG,"Wayah Gap, NC",NC,35.15398,-83.5801,,,
STP97B,salamander,Plethodon,glutinosus_CladeG,"Wayah Gap, NC",NC,35.15398,-83.5801,,,
STP98B,salamander,Plethodon,glutinosus_CladeG,"Wayah Gap, NC",NC,35.15398,-83.5801,,,
STP24,salamander,Plethodon,chattahoochee,"Brasstown Bald, GA",GA,34.86977,-83.81081,,,
STP25,salamander,Plethodon,chattahoochee,"Brasstown Bald, GA",GA,34.86977,-83.81081,,,
STP26,salamander,Plethodon,chattahoochee,"Brasstown Bald, GA",GA,34.86977,-83.81081,,,
STP27,salamander,Plethodon,chattahoochee,"Brasstown Bald, GA",GA,34.86977,-83.81081,,,
STP29,salamander,Plethodon,chattahoochee,"Brasstown Bald, GA",GA,34.86977,-83.81081,,,
STP30,salamander,Plethodon,chattahoochee,"Brasstown Bald, GA",GA,34.86977,-83.81081,,,
STP245,salamander,Ambystoma,jeffersonianum,Blue Rock Nature Preserve,OH,41.01204322,-83.6432308,,,
STP247,salamander,Ambystoma,jeffersonianum,Blue Rock Nature Preserve,OH,41.01204322,-83.6432308,,,
STP248,salamander,Ambystoma,jeffersonianum,Blue Rock Nature Preserve,OH,41.01204322,-83.6432308,,,
STP249,salamander,Ambystoma,jeffersonianum,Blue Rock Nature Preserve,OH,41.01204322,-83.6432308,,,
STP250,salamander,Ambystoma,jeffersonianum,Blue Rock Nature Preserve,OH,41.01204322,-83.6432308,,,
STP567,salamander,Plethodon,cajunensis,"Tangipohoa River, Louisiana",LA,30.39555174,-90.32689225,,,
STP601,salamander,Desmognathus,brimleyorum,Ouachita National Forest,AR,34.74994169,-93.66852012,,,
STP602,salamander,Desmognathus,brimleyorum,Ouachita National Forest,AR,34.74994169,-93.66852012,,,
STP603,salamander,Desmognathus,brimleyorum,Ouachita National Forest,AR,34.74994169,-93.66852012,,,
STP604,salamander,Hemidactylium,scutatum,Ouachita National Forest,AR,34.74994169,-93.66852012,,,
STP606,salamander,Desmognathus,brimleyorum,Ouachita National Forest,AR,34.74994169,-93.66852012,,,
STP607,salamander,Desmognathus,brimleyorum,Ouachita National Forest,AR,34.74994169,-93.66852012,,,
STP608,salamander,Hemidactylium,scutatum,Ouachita National Forest,AR,34.74994169,-93.66852012,,,
STP609,salamander,Hemidactylium,scutatum,Ouachita National Forest,AR,34.74994169,-93.66852012,,,
STP610,salamander,Hemidactylium,scutatum,Ouachita National Forest,AR,34.74994169,-93.66852012,,,
STP612,salamander,Hemidactylium,scutatum,Ouachita National Forest,AR,34.74994169,-93.66852012,,,
STP748,salamander,Desmognathus,welteri,Horse Creek Wildlife Sanctuary,TN,35.11935377,-88.17336701,,,
STP753,salamander,Eurycea,bislineta,Horse Creek Wildlife Sanctuary,TN,35.11935377,-88.17336701,,,
STP754,salamander,Plethodon ,mississippi,Horse Creek Wildlife Sanctuary,TN,35.11935377,-88.17336701,,,
STP755,salamander,Plethodon ,mississippi,Horse Creek Wildlife Sanctuary,TN,35.11935377,-88.17336701,,,
STP130B,salamander,Pseudotriton,ruber,"Grassy Gap, TN",TN,35.3704,-84.08699,,,
STP205B,salamander,Ambystoma,maculatum,"Tuskegee NF, AL",AL,32.48092,-85.61804,,,
STP206B,salamander,Ambystoma,maculatum,"Tuskegee NF, AL",AL,32.48092,-85.61804,,,
STP20B,salamander,Desmognathus,aeneus,Cooper's Creek ,GA,34.76278,-84.06871,,,
STP38B,salamander,Plethodon,chattahoochee,"Brasstown Bald, GA",GA,34.86977,-83.81081,,,
STP40B,salamander,Plethodon,chattahoochee,"Brasstown Bald, GA",GA,34.86977,-83.81081,,,
